original_path,sha256,has_frontmatter,title,owner,suggested_type,suggested_destination
DELIVERY-SUMMARY.md,7f844fadaab3c021671d2603cf5eaeb71d3f10e1e60be1e6d1eaa40d4be51827,no,,,both,docs/both/DELIVERY-SUMMARY.md
DOCUMENTATION_SUMMARY.md,9abc0fe11f0f13ddea22769a4085ad681e9b8817d25c73746fee2506d464b46b,no,,,both,docs/both/DOCUMENTATION_SUMMARY.md
INDEX.md,a8a09fbde561e578dbd187d4dfb1f8ed474ec632a29b58cb8380b3300b2edfd5,no,,,technical,docs/technical/INDEX.md
INTEGRATION-SUMMARY.md,c70a9cd3b1be7155b0b0f836d92b8aa9f907ad515ecd945b7724beab477b4339,no,,,both,docs/both/INTEGRATION-SUMMARY.md
INTERVIEW_GUIDE.md,1dfd883c93a5b607f40df4cf5831ee715cc6c731de76cee9baf979b2a712d7e0,no,,,both,docs/both/INTERVIEW_GUIDE.md
MASTER_ARCHITECTURE_REFERENCE.md,0a3fb460aa8a4813714b2b0c142ae85d564227257c3d57caf59a325082d54594,no,,,both,docs/both/MASTER_ARCHITECTURE_REFERENCE.md
README-PERFORMANCE-UPDATE.md,3d90bfd87487f4dfd7833ff7f624879672a429a162a882a29498a251be3b5a73,no,,,both,docs/both/README-PERFORMANCE-UPDATE.md
README.md,69f63b4eddd0b68984e4116efd436e49607856fe0dda42dc196f497ce038711e,no,,,both,docs/both/README.md
adr/ADR-001-Multi-Model-Strategy.md,edc753341fbd9b700a2bf060996ffdc09a77d668e9b6b533701eec91b60624b6,no,,,both,docs/both/ADR-001-Multi-Model-Strategy.md
agents/01-intake-agent.md,6244784a767b5500ead4f8ae271f3dc81d4139c0d681d56343993bd8a6f4fc92,no,,,both,docs/both/01-intake-agent.md
agents/02-eligibility-agent.md,839f7e259ba6b758e6a41a99b427bd6101b913018d6a460a2ae812d9a6232132,no,,,both,docs/both/02-eligibility-agent.md
agents/03-benefits-agent.md,8db5e739cf6f2e17c2861f2aec5e3b2147282908e834e387a23392f39b6e8b85,no,,,both,docs/both/03-benefits-agent.md
agents/04-clinical-agent.md,d32280cdffac5cb1c2dd3314159befcf84404cd9f341dc94657ae69cc59535b1,no,,,both,docs/both/04-clinical-agent.md
agents/05-policy-agent.md,42bfdcb20ab833b56758fa040c037836aae2f22163a442b6ffdd23c8671b22c1,no,,,both,docs/both/05-policy-agent.md
agents/06-fraud-agent.md,670258a0b8db7dbdb58ba5455abbde3c70c5205985648a486af307d6bf7cc9b0,no,,,both,docs/both/06-fraud-agent.md
agents/07-decision-agent.md,81378e058606f89caa8cce300d5ad928a1f145c471c0e5db1eefe2f68d34e7fc,no,,,both,docs/both/07-decision-agent.md
agents/08-appeals-agent.md,1ef075a513403a922a9ce7655218496c1fb3a1cfb1a67b997033ea53cd4d72f7,no,,,both,docs/both/08-appeals-agent.md
agents/09-notification-agent.md,93d614611cda8caceb307ab8b9eec5d4a7f762542e55750d1710a916f645c647,no,,,both,docs/both/09-notification-agent.md
agents/10-audit-agent.md,41f389326962b42bcad10d2d3a4e312e0c0a5750ae2589aa7df4cedc3e3f8fc7,no,,,both,docs/both/10-audit-agent.md
agents/11-com-agent.md,df1597e889f19ff46ddba8d3e9c9435d31aaaed89f4410561aaa7cc83e89d5a2,no,,,both,docs/both/11-com-agent.md
agents/README.md,3167749d025562844b7d34846376ec2b2529b4319c6fe8c0d0d64f451c5aa409,no,,,both,docs/both/README.md
doc/01-Business-Architecture.md,6418e449cd66f6193d2a7b40ebc03911f4e6ae9b23d99271bc90f68edd880225,no,,,both,docs/both/01-Business-Architecture.md
doc/02-Enterprise-Solution-Architecture.md,c7239dcb5110d7bd98b1e15071888a334d4896d9142bfb51102345e7555f3280,no,,,both,docs/both/02-Enterprise-Solution-Architecture.md
doc/03-Agentic-AI-Platform-Architecture.md,15c8241220b8674bbb7f7e0fe4e47926fce8074dec6bffa99c17f3f842cc839e,no,,,both,docs/both/03-Agentic-AI-Platform-Architecture.md
doc/04-Enterprise-Security-Governance-Compliance.md,7018746515faffa21a40f88456b10259036ccfd21039c15a176b202b1bbc1d85,no,,,both,docs/both/04-Enterprise-Security-Governance-Compliance.md
doc/05-Deployment-Operations-Runbook.md,792bec430d9fa1ed1b626b6f315a1bee70e360c0d9ed5a880d99d773d5d4c119,no,,,both,docs/both/05-Deployment-Operations-Runbook.md
doc/06-Complete-Microservice-Architecture.md,ea9b64b3cec54f96ead667835e0fdc19ceb9fc2f6f5d2069bee722a606cac844,no,,,both,docs/both/06-Complete-Microservice-Architecture.md
doc/13-Complete-Platform-Component-Reference.md,ebc97b880c07a61ada36cea275250f14d29741e4582c3e52378af5ec2ee76ae6,no,,,both,docs/both/13-Complete-Platform-Component-Reference.md
doc/13-Deep-Component-Connection-Reference.md,d29d2d33c1f5c2d04572c46872aab8b83b0fe6722331bd1ad8a06dbc39576d4d,no,,,both,docs/both/13-Deep-Component-Connection-Reference.md
doc/PERFORMANCE-VISUALIZATION-SUMMARY.md,16eabd8e991536bf45699f90fcdbce2c044468dc87277eaa1b1ecc27211c6852,no,,,both,docs/both/PERFORMANCE-VISUALIZATION-SUMMARY.md
doc/layer-01-presentation.md,2442eec829c8dffa68825e5bcace25d78772fbed78d9b0defdeda08f750fcdb5,no,,,both,docs/both/layer-01-presentation.md
doc/layer-02-api-gateway-.md,14d571f0f08489217728262f9357e5a7c864dd975060365af9ff857203c03fdb,no,,,technical,docs/technical/layer-02-api-gateway-.md
doc/layer-03-orchestration-.md,a611adef78e448de97ece3c25bd9f43d8123782f8d8897f6ceeb9c91486da62e,no,,,technical,docs/technical/layer-03-orchestration-.md
doc/layer-04-ai-agent-fabric-.md,04b45fa501ec1592780c761a9081411da9941137b0dc2fc7f9d74fd66fd42afd,no,,,technical,docs/technical/layer-04-ai-agent-fabric-.md
doc/layer-04-ai-agent-fabric-DETAILED.md,801a9e34ea418d5d296c595cb3881ef0536caf549514e9e3da991d4590419003,no,,,both,docs/both/layer-04-ai-agent-fabric-DETAILED.md
doc/layer-05-governance-.md,87ab75f656db44ebebc6cd51a9908d672faa4518616a9f77cfaaedf913637ecd,no,,,technical,docs/technical/layer-05-governance-.md
doc/layer-05-governance-DETAILED.md,042ac22309a60d8b4d127afb9b34343cdde8532a67394361b6e373f3d91a7b60,no,,,both,docs/both/layer-05-governance-DETAILED.md
doc/layer-06-mcp-.md,86529e768eccc47c44c4f2929eac4ebb90d80c8e6c618b1af7be8d0bc5046884,no,,,technical,docs/technical/layer-06-mcp-.md
doc/layer-06-mcp-DETAILED.md,80ebaff19195dfe83f2fe081c4deac2c862a0df8ad5072eb0e0d54c4bd9c53f3,no,,,technical,docs/technical/layer-06-mcp-DETAILED.md
doc/layer-07-memory-.md,698d9c57ef10dc020c6d968fe81c070baf7d9c37604b2528d2dd025d2fe6a489,no,,,technical,docs/technical/layer-07-memory-.md
doc/layer-07-memory-DETAILED.md,ebda686f5fd4121bb634bc118183fecd47af88678b4bdd3d1e3c290b25edbbac,no,,,technical,docs/technical/layer-07-memory-DETAILED.md
doc/layer-08-rag-DETAILED.md,6d63286863954a152d49205301b6e87b4a77472c22e88f410e194b497154a866,no,,,both,docs/both/layer-08-rag-DETAILED.md
doc/layer-08-rag-retrieval-.md,72d2b6e2c699263172fc58371eb079cad5d1f810d1c62677f32d5102b8ff2e78,no,,,technical,docs/technical/layer-08-rag-retrieval-.md
doc/layer-09-data-services-.md,172a23b3f76ab1bfb4c44d021ac16b11418bd3770b27c7393304c87216ced75d,no,,,technical,docs/technical/layer-09-data-services-.md
doc/layer-09-data-services-DETAILED.md,852c1e1a27e6cef6776f4ab7b86196efc064501f3692929f74eb3e9d9cc75b23,no,,,technical,docs/technical/layer-09-data-services-DETAILED.md
doc/layer-10-hitl-.md,69111c59c302690e2e9bd59b7f83ecb349150fab7c6fde93bf7e8a26f5b3e829,no,,,technical,docs/technical/layer-10-hitl-.md
doc/layer-10-hitl-DETAILED.md,e3130e96c5aa69212237c9e63fed7ff4415255a29c36e447705594a48c5881ba,no,,,technical,docs/technical/layer-10-hitl-DETAILED.md
plantuml/60-Gateway-GenAI-Orchestration-Architecture.md,7dfa800d96feb7141272524186f3a8a2fa83d7957aee9c7305aa734b2caa27a5,no,,,both,docs/both/60-Gateway-GenAI-Orchestration-Architecture.md
plantuml/README.md,4d530d217367282bf01e563a5a022ca8bcfbd37cff94c18d91e2693a8df92c86,no,,,both,docs/both/README.md
services/01-member-service.md,8035c175b4c7a798769e4b5d1cc14dc67ccc6259f3afbbb6c1b9ad426628e5c0,no,,,both,docs/both/01-member-service.md
services/02-provider-service.md,3e0f25d6dc4e28e950e94998b4f3a46f1d8491a874ece883af33e30b7ff1bb6c,no,,,both,docs/both/02-provider-service.md
services/03-policy-service.md,019da1298a5954fc2740b7f6c6d2244239893741cbd9278963a9a456dc45722e,no,,,both,docs/both/03-policy-service.md
services/04-claims-service.md,3d07a7776e88f37b2142621e542c74296513ebe561e52b2d57da41ddf42bf6c3,no,,,both,docs/both/04-claims-service.md
services/05-benefits-config-service.md,ff954acc210046e35c26071012005c1e46de1058f830834e1ee566fef1a48f06,no,,,both,docs/both/05-benefits-config-service.md
services/06-network-service.md,553dce400c40cfdde72f77dfb66f8025d5df94dfb7141d82e114760e329cfe3f,no,,,both,docs/both/06-network-service.md
services/07-formulary-service.md,53b7b682e1a0741bb8ebed0c70a69d4caf29601233094b93ac687df4048127a9,no,,,both,docs/both/07-formulary-service.md
services/08-clinical-content-service.md,11cc7d55537f85060adb6678ba95e778424553f953ad0a72c669d16098f09ada,no,,,both,docs/both/08-clinical-content-service.md
services/README.md,7cd41dcc9fe7ae340d8bd9c6546b4af6c72098a0a1cb46e5bf6060d3dbb7312e,no,,,both,docs/both/README.md
tracking/ALIGNMENT_PROGRESS.md,42e6dbe8e56950cd75e9b6ee91b22a1a80cec69bcbff014477de89b83f784e2e,no,,,both,docs/both/ALIGNMENT_PROGRESS.md
tracking/CONTENT_ENHANCEMENT_MAP.md,86c263a261cffd89c045237066c036ac80fbf8905b5cba6dffa0cdf1acc628bd,no,,,both,docs/both/CONTENT_ENHANCEMENT_MAP.md
tracking/LATEST_SESSION_REPORT.md,b61fef95ee08ecf60c79c11a557bb56596526a419c9b790fffe5fd4a3b2ba1a4,no,,,both,docs/both/LATEST_SESSION_REPORT.md
tracking/ORGANIZATION_SUMMARY.md,bed784d8187b9989ef5060647a146f54a4bde07c294f2ef4b6d678b10077b872,no,,,both,docs/both/ORGANIZATION_SUMMARY.md
tracking/README.md,1d19564e1eda83c3757efcb8402542583525a27dd02d93674b09583fc8b8ef78,no,,,both,docs/both/README.md
tracking/archive/ALIGNMENT_SUMMARY.md,616a4595f46022de3fc03244960fbefea819aebc06aebaa51879bf3d59d6c4ef,no,,,both,docs/both/ALIGNMENT_SUMMARY.md
tracking/archive/SESSION_COMPLETION_REPORT.md,fef0a8bfd1b862966ae0293e37b11cb96aa1906ea1934fe251a5fa34048f0d8c,no,,,both,docs/both/SESSION_COMPLETION_REPORT.md
tracking/archive/VERIFICATION_REPORT.md,036f53ef4349d14b8965400fe3dc94f5631a56683d8f13173f81eaef2a5aa132,no,,,both,docs/both/VERIFICATION_REPORT.md
